fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Court McGee,0.011569796068779586,0.03813588326165932,0.03238439435123848,0.009803891079462779,0.002573529411764706,0.06262447554531449,0.050678643130384074,0.030832074980494478,0.027783701361563273,0.020559752483075764,0.011653507277434753,0.2985996489511717
Gavin Tucker,0.0001933644971188973,0.04492995689655173,0.06417204301075269,0.022839187710288127,0.013541666666666667,0.045301726558551365,0.04216201012563285,0.02060464514529219,0.01917978911760352,0.013270423048869438,0.012281777310679046,0.29847659008800653
Conor McGregor,0.11797762936907369,0.05945316385527188,0.017909540056717476,9.957216733011087e-05,0.0037259615384615387,0.029907457450418617,0.034285909395779544,0.014069817907119904,0.016502337417169617,0.001786562000294563,0.002654492063812873,0.2983724432214498
Jonathan Martinez,0.054247028491727224,0.05801339285714285,0.042363396971691905,0.0003311482620130793,0.006919642857142858,0.040810838034741545,0.047132410061343125,0.018780286452808295,0.021389411381597823,0.004376367614879649,0.003934139078647749,0.2982980620637361
Nasrat Haqparast,0.08076558809660457,0.05252001231527094,0.03788676761026991,0.0003311482620130793,0.0,0.04042396911466742,0.042800889341298116,0.018670932744774223,0.01972645469503902,0.002448030634573304,0.0022963741460851287,0.29787016696059576
Nadia Kassem,0.0005027476925091329,0.060172413793103445,0.008602150537634407,0.07196972221234954,0.05,0.025355097829998147,0.028951809488093002,0.020027842840239243,0.02763287894148871,0.003026987600291758,0.001373270275004379,0.29761492121071176
Jeff Hougland,0.0017518936738482118,0.05293103448275861,0.021136712749615975,0.048620983793005404,0.05,0.030945977707198466,0.035195949746859176,0.01831720173615697,0.0231076154580762,0.010685630926331144,0.004847317101652362,0.29754031737550257
Michinori Tanaka,0.0002552411361969445,0.052827586206896565,0.05945069124423963,0.009403044587005971,0.06375,0.022925727407167057,0.021286330395649727,0.016612310686206073,0.021194907769146266,0.014080962800875271,0.015380627080049045,0.2971674293134326
Sirwan Kakai,0.060213704402824635,0.04258620689655173,0.04516129032258065,0.0015855187748791582,0.0,0.037501949944153595,0.03265516594787174,0.019876903919290805,0.020653052848792198,0.01783369803063457,0.018882466281310212,0.2969499573688893
Luke Barnatt,0.03794392093461672,0.04135775862068966,0.043202764976958526,0.011904084920860581,0.0,0.056828756424415997,0.052203262703919,0.024593745198929415,0.021409655091262234,0.003569474835886214,0.003805103053657967,0.29681852676119636
Steven Peterson,0.0010047287250003918,0.03440086206896551,0.038298617511520736,0.008404890531703157,0.008749999999999999,0.06947978609892612,0.04829926870429402,0.032706712199907825,0.024816697052731124,0.019671772428884023,0.010961639516552811,0.29679497483848566
